,Unnamed: 0,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,매출액증가율,유형자산증가율,재고자산증가율,비유동자산증가율,유동자산증가율,자기자본증가율,총자본증가율,순이익증가율,매출액총이익률,매출액순이익률,자기자본순이익률,총자본사업이익률,총자본순이익률,1주당매출액,1주당순이익,유동비율,당좌비율,현금비율,순운전자본비율,부채비율,이자보상배율이자비용,비유동비율,유동자산구성비율,자기자본구성비율,자기자본배율,총자본회전률,자기자본회전률,비유동자산회전률,재고자산회전률,매출채권회전률,매입채무회전률,매입채무회전기간,재고자산회전기간,매출채권회전기간,1회전기간,운전자본회전률,순운전자본회전률,유형자산회전율,유동자산회전률,당좌자산회전률,부가가치,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,label,pred_label
0,0,(주)CMG제약,58820,2011-12-01,2001-08-31,,5,  의료용 물질 및 의약품 제조업,56.4,-5.9,-1.43,-12.89,-12.89,-12.89,1.98,0.0,41.83,-8.5,-8.28,2.52,-5.58,406.28,-35.0,200.97,165.03,15.1,28.23,51.41,3.53,66.34,56.18,66.05,82.55,0.66,0.97,1.38,6.42,2.45,11.95,30.53,56.81,148.8,0.01,0.0,0.86,1.77,1.25,1.55,3472.17,12.72,35.86,128.51,19.56,89.82,10.18,-43.44,0.0,
1,1,(주)CMG제약,58820,2012-12-01,2001-08-31,,5,  의료용 물질 및 의약품 제조업,-8.43,-4.12,7.73,-16.43,-16.43,-16.43,109.15,0.0,28.34,-40.97,-26.84,-9.65,-15.78,332.74,-138.0,693.49,649.98,68.81,70.6,80.77,-7.75,31.65,82.49,55.32,95.69,0.39,0.66,1.48,5.71,1.85,7.83,46.62,63.97,197.16,0.0,0.0,0.42,1.71,0.52,0.57,269.31,0.47,2.89,10.67,1.66,807.71,-955.76,-1559.68,0.0,
2,10,(주)ES큐브,50120,2011-12-01,2002-04-25,,5,  도매 및 상품 중개업,21.63,27.82,27.49,30.73,30.73,30.73,12.78,0.0,27.92,-8.99,-12.61,-5.61,-8.65,2296.51,-206.0,230.24,194.35,21.35,34.75,41.36,-245.99,54.53,61.43,70.74,327.25,0.96,1.36,2.49,10.05,4.27,19.72,18.51,36.32,85.45,0.01,0.0,1.09,12.37,1.57,1.86,12044.17,21.71,279.2,1125.26,22.56,120.2,-20.2,-39.82,0.0,
3,11,(주)ES큐브,50120,2012-12-01,2002-04-25,,5,  도매 및 상품 중개업,4.85,-26.25,-8.81,10.17,10.17,10.17,-16.58,0.0,28.02,-0.64,0.29,1.1,-0.78,2392.63,5.0,472.77,371.91,84.78,38.68,16.11,1.72,59.14,49.06,86.12,335.11,1.21,1.4,2.37,11.55,12.19,36.32,10.05,31.59,29.94,0.02,0.0,2.03,17.59,2.46,3.13,17991.74,38.87,565.49,2009.57,32.14,86.11,13.89,-2.0,0.0,
4,20,(주)가비아,79940,2011-12-01,2005-10-19,,5,  출판업,30.07,11.47,-53.95,22.02,22.02,22.02,22.76,9.94,44.79,13.28,18.06,14.9,11.9,4148.88,372.0,207.38,207.27,86.37,22.99,33.47,22.28,74.21,44.4,74.92,432.15,0.9,1.23,1.61,2306.01,12.66,111.27,3.28,0.16,28.83,0.04,0.0,1.41,2.51,2.03,2.03,25788.11,39.7,116.43,1336.55,48.81,47.92,52.08,27.2,0.0,
5,21,(주)가비아,79940,2012-12-01,2005-10-19,,5,  출판업,30.7,70.81,656.6,47.43,47.43,47.43,31.24,46.89,41.64,13.64,21.3,15.82,12.54,5178.45,524.0,215.35,213.68,87.48,20.11,44.62,15.43,90.33,37.54,69.15,528.7,0.92,1.28,1.55,525.34,12.67,46.71,7.81,0.69,28.81,0.05,0.0,1.54,2.3,2.27,2.28,31058.09,36.43,82.09,823.51,44.97,49.79,50.21,30.33,0.0,
6,38,(주)고영테크놀러지,98460,2011-12-01,2008-06-03,,5,  기타 기계 및 장비 제조업,18.06,17.31,55.18,20.36,20.36,20.36,23.1,-4.46,57.08,18.15,25.06,24.41,19.83,9985.15,0.0,424.78,329.07,42.81,55.63,24.97,22785.6,34.04,72.76,80.02,1608.46,1.09,1.38,3.97,7.34,3.74,11.81,30.92,49.7,97.64,0.01,0.0,1.21,6.18,1.51,1.9,28970.09,33.3,206.39,91819.87,33.63,30.27,69.73,53.97,0.0,
7,39,(주)고영테크놀러지,98460,2012-12-01,2008-06-03,,5,  기타 기계 및 장비 제조업,25.21,3.36,24.53,7.56,7.56,7.56,18.79,-2.55,57.02,14.12,19.91,23.17,15.99,12044.42,1743.0,498.93,385.1,49.28,60.23,23.92,1627.45,30.57,75.33,80.7,1857.36,1.13,1.41,4.38,6.73,4.19,14.19,25.72,54.2,87.14,0.01,0.0,1.26,7.05,1.53,1.98,32628.63,31.57,209.86,1754.14,30.26,36.28,63.72,46.65,0.0,
8,49,(주)골드퍼시픽,38530,2011-12-01,2000-06-09,,5,  도매 및 상품 중개업,4.84,468.65,62.34,112.9,112.9,112.9,18.86,184.76,30.52,2.32,4.97,4.52,2.43,919.95,21.0,109.25,95.73,0.42,4.23,104.73,14.16,102.4,49.98,48.84,87.64,1.05,2.14,1.88,16.01,6.78,53.45,6.83,22.8,53.8,0.01,0.0,1.22,41.12,2.37,2.78,14658.86,31.63,1473.04,0.0,30.85,34.01,65.99,7.51,0.0,
9,50,(주)골드퍼시픽,38530,2012-12-01,2000-06-09,,5,  도매 및 상품 중개업,-6.64,-13.17,56.32,-12.42,-12.42,-12.42,8.69,-74.3,28.28,-13.75,-24.69,-3.85,-12.39,743.08,-112.0,141.03,127.38,15.89,15.56,94.5,2.66,90.48,53.48,51.41,73.29,0.9,1.8,1.87,15.93,6.26,52.9,6.9,22.91,58.34,0.01,0.0,0.96,47.54,1.74,1.95,7893.95,15.46,927.25,0.0,17.99,79.74,20.26,-76.47,0.0,
